detector_name,route,direction,lat,lon,lane
5476,I-35E,NB,45.0336,-93.08766,1
5477,I-35E,NB,45.0336,-93.08766,2
5478,I-35E,NB,45.0336,-93.08766,3
5473,I-35E,NB,45.03367,-93.08751,0
5533,I-35E,NB,45.03626,-93.07645,1
5534,I-35E,NB,45.03626,-93.07645,2
5535,I-35E,NB,45.03626,-93.07645,3
5536,I-35E,NB,45.03626,-93.07645,4
5537,I-35E,NB,45.03626,-93.07645,5
5538,I-35E,NB,45.03626,-93.07645,6
7822,I-35E,NB,45.03626,-93.07645,1
5479,I-35E,NB,45.0381,-93.06344,1
5480,I-35E,NB,45.0381,-93.06344,2
5481,I-35E,NB,45.0381,-93.06344,3
7831,I-35E,NB,45.0381,-93.06344,1
7832,I-35E,NB,45.0381,-93.06344,2
7833,I-35E,NB,45.0381,-93.06344,3
5482,I-35E,NB,45.04765,-93.0598,0
5483,I-35E,NB,45.0496,-93.05904,1
5484,I-35E,NB,45.0496,-93.05904,2
5485,I-35E,NB,45.0496,-93.05904,3
6357,I-35E,NB,45.05181,-93.05824,0
7724,I-35E,NB,45.05181,-93.05824,0
6358,I-35E,NB,45.05777,-93.05706,1
6359,I-35E,NB,45.05777,-93.05706,2
7702,I-35E,NB,45.05777,-93.05706,3
6360,I-35E,NB,45.06445,-93.05546,1
6361,I-35E,NB,45.06445,-93.05546,2
7703,I-35E,NB,45.06445,-93.05546,3
6362,I-35E,NB,45.07415,-93.05246,1
6363,I-35E,NB,45.07415,-93.05246,2
7704,I-35E,NB,45.07415,-93.05246,3
6364,I-35E,NB,45.07801,-93.05256,0
6365,I-35E,NB,45.07913,-93.05263,1
6366,I-35E,NB,45.07913,-93.05263,2
4971,I-35E,NB,45.08092,-93.05269,0
6367,I-35E,NB,45.08092,-93.05269,0
6368,I-35E,NB,45.08962,-93.05232,1
6369,I-35E,NB,45.08962,-93.05232,2
7834,I-35E,NB,45.08962,-93.05232,3
6370,I-35E,NB,45.09423,-93.05184,1
6371,I-35E,NB,45.09423,-93.05184,2
7835,I-35E,NB,45.09423,-93.05184,3
6372,I-35E,NB,45.10435,-93.04993,1
6373,I-35E,NB,45.10435,-93.04993,2
7836,I-35E,NB,45.10435,-93.04993,3
6374,I-35E,NB,45.10888,-93.04918,1
6375,I-35E,NB,45.10888,-93.04918,2
7837,I-35E,NB,45.10888,-93.04918,3
6376,I-35E,NB,45.11688,-93.04941,1
6377,I-35E,NB,45.11688,-93.04941,2
7838,I-35E,NB,45.11688,-93.04941,3
6378,I-35E,NB,45.12214,-93.04954,0
7823,I-35E,NB,45.12354,-93.04948,1
7824,I-35E,NB,45.12354,-93.04948,2
7825,I-35E,NB,45.12354,-93.04948,3
6379,I-35E,NB,45.12503,-93.04928,1
6380,I-35E,NB,45.12503,-93.04928,2
7839,I-35E,NB,45.12503,-93.04928,3
9641,I-35E,NB,45.12561,-93.04904,0
6381,I-35E,NB,45.13178,-93.04339,1
6382,I-35E,NB,45.13178,-93.04339,2
3832,I-35E,SB,44.7533,-93.26202,1
3833,I-35E,SB,44.7533,-93.26202,2
3831,I-35E,SB,44.75689,-93.25378,0
3829,I-35E,SB,44.75771,-93.25176,1
3830,I-35E,SB,44.75771,-93.25176,2
3827,I-35E,SB,44.76111,-93.24503,1
3828,I-35E,SB,44.76111,-93.24503,2
3826,I-35E,SB,44.7625,-93.24283,0
3824,I-35E,SB,44.76615,-93.23701,1
3825,I-35E,SB,44.76615,-93.23701,2
3822,I-35E,SB,44.77604,-93.2212,1
3823,I-35E,SB,44.77604,-93.2212,2
3319,I-35E,SB,44.77617,-93.22146,0
3821,I-35E,SB,44.77622,-93.22138,0
3250,I-35E,SB,44.77918,-93.21669,0
3819,I-35E,SB,44.78016,-93.21462,1
3820,I-35E,SB,44.78016,-93.21462,2
3816,I-35E,SB,44.78529,-93.20732,1
3817,I-35E,SB,44.78529,-93.20732,2
3818,I-35E,SB,44.78529,-93.20732,3
3815,I-35E,SB,44.78688,-93.20542,0
3812,I-35E,SB,44.7916,-93.20068,1
3813,I-35E,SB,44.7916,-93.20068,2
3814,I-35E,SB,44.7916,-93.20068,3
3811,I-35E,SB,44.79378,-93.19897,0
3808,I-35E,SB,44.79752,-93.19616,1
3809,I-35E,SB,44.79752,-93.19616,2
3810,I-35E,SB,44.79752,-93.19616,3
3807,I-35E,SB,44.80053,-93.1939,0
3804,I-35E,SB,44.80391,-93.19124,1
3805,I-35E,SB,44.80391,-93.19124,2
3806,I-35E,SB,44.80391,-93.19124,3
3803,I-35E,SB,44.80826,-93.18787,0
3800,I-35E,SB,44.81028,-93.1858,1
3801,I-35E,SB,44.81028,-93.1858,2
3802,I-35E,SB,44.81028,-93.1858,3
3797,I-35E,SB,44.8125,-93.18082,1
3798,I-35E,SB,44.8125,-93.18082,2
3799,I-35E,SB,44.8125,-93.18082,3
3794,I-35E,SB,44.82299,-93.17291,1
3795,I-35E,SB,44.82299,-93.17291,2
3796,I-35E,SB,44.82299,-93.17291,3
3793,I-35E,SB,44.82706,-93.17089,0
3790,I-35E,SB,44.82925,-93.16855,1
3791,I-35E,SB,44.82925,-93.16855,2
3792,I-35E,SB,44.82925,-93.16855,3
3789,I-35E,SB,44.83306,-93.1645,0
3785,I-35E,SB,44.8349,-93.16318,1
3786,I-35E,SB,44.8349,-93.16318,2
3787,I-35E,SB,44.8349,-93.16318,3
3788,I-35E,SB,44.8349,-93.16318,4
3784,I-35E,SB,44.83722,-93.16142,0
3780,I-35E,SB,44.84156,-93.15819,1
3781,I-35E,SB,44.84156,-93.15819,2
3782,I-35E,SB,44.84156,-93.15819,3
3783,I-35E,SB,44.84156,-93.15819,4
3474,I-35E,SB,44.84358,-93.15668,0
3470,I-35E,SB,44.84866,-93.15289,1
3471,I-35E,SB,44.84866,-93.15289,2
3472,I-35E,SB,44.84866,-93.15289,3
3473,I-35E,SB,44.84866,-93.15289,4
3469,I-35E,SB,44.85186,-93.15048,0
3464,I-35E,SB,44.86078,-93.14577,1
3465,I-35E,SB,44.86078,-93.14577,2
3466,I-35E,SB,44.86078,-93.14577,3
3468,I-35E,SB,44.861,-93.14789,0
3463,I-35E,SB,44.86201,-93.14563,0
3467,I-35E,SB,44.86228,-93.14789,0
3462,I-35E,SB,44.86815,-93.14501,0
3459,I-35E,SB,44.8741,-93.14382,1
3460,I-35E,SB,44.8741,-93.14382,2
3461,I-35E,SB,44.8741,-93.14382,3
3458,I-35E,SB,44.87953,-93.14135,0
4537,I-35E,SB,44.87953,-93.14135,0
3456,I-35E,SB,44.88148,-93.14039,1
3457,I-35E,SB,44.88148,-93.14039,2
3455,I-35E,SB,44.88346,-93.13896,0
3454,I-35E,SB,44.88492,-93.13731,0
3452,I-35E,SB,44.8887,-93.13209,1
3453,I-35E,SB,44.8887,-93.13209,2
3450,I-35E,SB,44.89514,-93.13146,1
3451,I-35E,SB,44.89514,-93.13146,2
3449,I-35E,SB,44.89805,-93.13354,0
4536,I-35E,SB,44.89805,-93.13354,0
3447,I-35E,SB,44.90224,-93.1371,1
3448,I-35E,SB,44.90224,-93.1371,2
3477,I-35E,SB,44.90224,-93.1371,3
3446,I-35E,SB,44.90305,-93.13791,0
3445,I-35E,SB,44.90877,-93.14301,0
3479,I-35E,SB,44.90877,-93.14301,0
3538,I-35E,SB,44.90877,-93.14301,0
4535,I-35E,SB,44.90877,-93.14301,0
3443,I-35E,SB,44.90947,-93.1434,1
3444,I-35E,SB,44.90947,-93.1434,2
3478,I-35E,SB,44.90947,-93.1434,3
3418,I-35E,SB,44.91286,-93.14442,0
3442,I-35E,SB,44.91286,-93.14442,0
4534,I-35E,SB,44.91286,-93.14442,0
3440,I-35E,SB,44.91509,-93.14453,1
3441,I-35E,SB,44.91509,-93.14453,2
3439,I-35E,SB,44.91674,-93.14467,0
3417,I-35E,SB,44.92327,-93.14511,0
3438,I-35E,SB,44.92327,-93.14511,0
4533,I-35E,SB,44.92327,-93.14511,0
3435,I-35E,SB,44.92557,-93.1452,1
3436,I-35E,SB,44.92557,-93.1452,2
3437,I-35E,SB,44.92557,-93.1452,3
5005,I-35E,SB,44.92841,-93.14434,0
3433,I-35E,SB,44.92964,-93.14316,1
3434,I-35E,SB,44.92964,-93.14316,2
3432,I-35E,SB,44.93039,-93.14214,0
3430,I-35E,SB,44.93164,-93.1338,1
3431,I-35E,SB,44.93164,-93.1338,2
3429,I-35E,SB,44.93166,-93.13304,0
3427,I-35E,SB,44.93511,-93.12571,1
3428,I-35E,SB,44.93511,-93.12571,2
3426,I-35E,SB,44.93671,-93.12324,0
3416,I-35E,SB,44.9399,-93.11613,0
3425,I-35E,SB,44.9399,-93.11613,0
4532,I-35E,SB,44.9399,-93.11613,0
3423,I-35E,SB,44.94006,-93.11575,1
3424,I-35E,SB,44.94006,-93.11575,2
3415,I-35E,SB,44.94496,-93.10702,0
3422,I-35E,SB,44.94496,-93.10702,0
4531,I-35E,SB,44.94496,-93.10702,0
T3591,I-35E,SB,44.94526,-93.1066,1
T3592,I-35E,SB,44.94526,-93.1066,2
3420,I-35E,SB,44.94597,-93.10561,1
3421,I-35E,SB,44.94597,-93.10561,2
2482,I-35E,SB,44.94926,-93.10228,0
3535,I-35E,SB,44.94926,-93.10228,0
4530,I-35E,SB,44.94926,-93.10228,0
2480,I-35E,SB,44.94968,-93.10195,1
2481,I-35E,SB,44.94968,-93.10195,2
T3595,I-35E,SB,44.9502,-93.10146,1
T3596,I-35E,SB,44.9502,-93.10146,2
2476,I-35E,SB,44.95249,-93.08339,0
2478,I-35E,SB,44.95396,-93.09325,1
2479,I-35E,SB,44.95396,-93.09325,2
T3599,I-35E,SB,44.95414,-93.09293,1
