detector_id,name,route,direction,lat,lon,lane
T9399,Mainline sensor,I-94,WB,45.52786,-94.30729,1
T9400,Mainline sensor,I-94,WB,45.52786,-94.30729,2
T9401,Mainline sensor,I-94,WB,45.53223,-94.31234,1
T9402,Mainline sensor,I-94,WB,45.53223,-94.31234,2
T9403,Mainline sensor,I-94,WB,45.53719,-94.31654,1
T9404,Mainline sensor,I-94,WB,45.53719,-94.31654,2
T9405,Mainline sensor,I-94,WB,45.5443,-94.32269,1
T9406,Mainline sensor,I-94,WB,45.5443,-94.32269,2
T9407,Mainline sensor,I-94,WB,45.55097,-94.33071,1
T9408,Mainline sensor,I-94,WB,45.55097,-94.33071,2
T9409,Mainline sensor,I-94,WB,45.55601,-94.33698,1
T9410,Mainline sensor,I-94,WB,45.55601,-94.33698,2
T9411,Mainline sensor,I-94,WB,45.56246,-94.34493,1
T9412,Mainline sensor,I-94,WB,45.56246,-94.34493,2
T9413,Mainline sensor,I-94,EB,45.56237,-94.3452,1
T9414,Mainline sensor,I-94,EB,45.56237,-94.3452,2
T9415,Mainline sensor,I-94,EB,45.55636,-94.33772,1
T9416,Mainline sensor,I-94,EB,45.55636,-94.33772,2
T9417,Mainline sensor,I-94,EB,45.5509,-94.33093,1
T9418,Mainline sensor,I-94,EB,45.5509,-94.33093,2
T9419,Mainline sensor,I-94,EB,45.54428,-94.32305,1
T9420,Mainline sensor,I-94,EB,45.54428,-94.32305,2
T9421,Mainline sensor,I-94,EB,45.53883,-94.31816,1
T9422,Mainline sensor,I-94,EB,45.53883,-94.31816,2
T9423,Mainline sensor,I-94,EB,45.53346,-94.31356,1
T9424,Mainline sensor,I-94,EB,45.53346,-94.31356,2
T9425,Mainline sensor,I-94,EB,45.52721,-94.30651,1
T9426,Mainline sensor,I-94,EB,45.52721,-94.30651,2
T9427,Mainline sensor,I-94,EB,45.51086,-94.27911,1
T9428,Mainline sensor,I-94,EB,45.51086,-94.27911,2
T9429,Mainline sensor,I-94,EB,45.5059,-94.27285,1
T9430,Mainline sensor,I-94,EB,45.5059,-94.27285,2
T9431,Mainline sensor,I-94,EB,45.50032,-94.26484,1
T9432,Mainline sensor,I-94,EB,45.50032,-94.26484,2
T9461,Mainline sensor,I-94,EB,45.60604,-94.43285,1
T9462,Mainline sensor,I-94,EB,45.60604,-94.43285,2
T9463,Mainline sensor,I-94,EB,45.60628,-94.42513,1
T9464,Mainline sensor,I-94,EB,45.60628,-94.42513,2
T9465,Mainline sensor,I-94,EB,45.60802,-94.41076,1
T9466,Mainline sensor,I-94,EB,45.60802,-94.41076,2
T9467,Mainline sensor,I-94,EB,45.60706,-94.4025,1
T9468,Mainline sensor,I-94,EB,45.60706,-94.4025,2
T9469,Mainline sensor,I-94,EB,45.60265,-94.39299,1
T9470,Mainline sensor,I-94,EB,45.60265,-94.39299,2
T9471,Mainline sensor,I-94,EB,45.59946,-94.38605,1
T9472,Mainline sensor,I-94,EB,45.59946,-94.38605,2
T9473,Mainline sensor,I-94,EB,45.59598,-94.37891,1
T9474,Mainline sensor,I-94,EB,45.59598,-94.37891,2
T9475,Mainline sensor,I-94,EB,45.55821,-94.34006,1
T9476,Mainline sensor,I-94,EB,45.55821,-94.34006,2
T9477,Mainline sensor,I-94,EB,45.55362,-94.33433,1
T9478,Mainline sensor,I-94,EB,45.55362,-94.33433,2
T9479,Mainline sensor,I-94,EB,45.54752,-94.32678,1
T9480,Mainline sensor,I-94,EB,45.54752,-94.32678,2
T9481,Mainline sensor,I-94,EB,45.54155,-94.32054,1
T9482,Mainline sensor,I-94,EB,45.54155,-94.32054,1
T9483,Mainline sensor,I-94,EB,45.53674,-94.31637,1
T9484,Mainline sensor,I-94,EB,45.53674,-94.31637,2
T9485,Mainline sensor,I-94,EB,45.52929,-94.30989,1
T9486,Mainline sensor,I-94,EB,45.52929,-94.30989,2
T9487,Mainline sensor,I-94,EB,45.52563,-94.30285,1
T9488,Mainline sensor,I-94,EB,45.52563,-94.30285,2
T9521,Mainline sensor,I-94,WB,44.96283,-92.75747,1
T9522,Mainline sensor,I-94,WB,44.96283,-92.75747,2
T9523,Mainline sensor,I-94,WB,44.96284,-92.74724,1
