detector_id,name,route,direction,lat,lon,lane
761,Mainline sensor,I-694,WB,45.06473,-93.21006,2
762,Mainline sensor,I-694,WB,45.06473,-93.21006,3
859,Mainline sensor,I-694,WB,45.06733,-93.18295,1
860,Mainline sensor,I-694,WB,45.06733,-93.18295,2
T3534,Mainline sensor,I-694,WB,45.06714,-93.18906,1
4300,Mainline sensor,I-694,WB,45.05576,-93.12868,1
4301,Mainline sensor,I-694,WB,45.05576,-93.12868,2
4303,Mainline sensor,I-694,WB,45.05261,-93.11852,1
4304,Mainline sensor,I-694,WB,45.05261,-93.11852,2
4348,Mainline sensor,I-694,WB,45.05777,-93.13778,1
4349,Mainline sensor,I-694,WB,45.05777,-93.13778,2
4375,Mainline sensor,I-694,WB,45.06008,-93.14835,1
4376,Mainline sensor,I-694,WB,45.06008,-93.14835,2
4382,Mainline sensor,I-694,WB,45.06008,-93.14835,3
4385,Mainline sensor,I-694,WB,45.06343,-93.16027,2
4397,Mainline sensor,I-694,WB,45.06343,-93.16027,3
4398,Mainline sensor,I-694,WB,45.06685,-93.17276,1
4399,Mainline sensor,I-694,WB,45.06685,-93.17276,2
5521,Mainline sensor,I-694,WB,45.03764,-93.0438,1
5522,Mainline sensor,I-694,WB,45.03764,-93.0438,2
5525,Mainline sensor,I-694,WB,45.03784,-93.06324,2
5526,Mainline sensor,I-694,WB,45.03784,-93.06324,3
5528,Mainline sensor,I-694,WB,45.0366,-93.07602,2
5529,Mainline sensor,I-694,WB,45.0366,-93.07602,3
5530,Mainline sensor,I-694,WB,45.0366,-93.07602,4
5531,Mainline sensor,I-694,WB,45.0366,-93.07602,5
5532,Mainline sensor,I-694,WB,45.0366,-93.07602,6
5540,Mainline sensor,I-694,WB,45.03543,-93.0874,2
5541,Mainline sensor,I-694,WB,45.03543,-93.0874,3
5543,Mainline sensor,I-694,WB,45.04284,-93.10225,2
5544,Mainline sensor,I-694,WB,45.04284,-93.10225,3
T6006,Mainline sensor,I-694,WB,45.05261,-93.11852,1
T6007,Mainline sensor,I-694,WB,45.05261,-93.11852,2
T6013,Mainline sensor,I-694,WB,45.04284,-93.10225,1
T6014,Mainline sensor,I-694,WB,45.04284,-93.10225,2
T6017,Mainline sensor,I-694,WB,45.05576,-93.12868,1
T6018,Mainline sensor,I-694,WB,45.05576,-93.12868,2
T6019,Mainline sensor,I-694,WB,45.05777,-93.13778,1
T6020,Mainline sensor,I-694,WB,45.05777,-93.13778,2
T6021,Mainline sensor,I-694,WB,45.06008,-93.14835,1
T6022,Mainline sensor,I-694,WB,45.06008,-93.14835,2
6247,Mainline sensor,I-694,WB,45.02862,-92.96091,1
6248,Mainline sensor,I-694,WB,45.02862,-92.96091,2
6252,Mainline sensor,I-694,WB,45.0327,-92.96819,1
6253,Mainline sensor,I-694,WB,45.0327,-92.96819,2
6255,Mainline sensor,I-694,WB,45.03417,-92.9838,1
6256,Mainline sensor,I-694,WB,45.03417,-92.9838,2
6258,Mainline sensor,I-694,WB,45.0363,-93.00112,1
6259,Mainline sensor,I-694,WB,45.0363,-93.00112,2
6261,Mainline sensor,I-694,WB,45.03744,-93.01592,1
6262,Mainline sensor,I-694,WB,45.03744,-93.01592,2
6264,Mainline sensor,I-694,WB,45.03725,-93.02797,1
6265,Mainline sensor,I-694,WB,45.03725,-93.02797,2
6575,Mainline sensor,I-694,WB,45.03783,-93.05362,1
6576,Mainline sensor,I-694,WB,45.03783,-93.05362,2
6577,Mainline sensor,I-694,WB,45.03783,-93.05362,3
7783,Mainline sensor,I-694,WB,45.04284,-93.10225,4
7784,Mainline sensor,I-694,WB,45.04467,-93.1055,1
7785,Mainline sensor,I-694,WB,45.04467,-93.1055,2
7786,Mainline sensor,I-694,WB,45.04467,-93.1055,3
7787,Mainline sensor,I-694,WB,45.04858,-93.11231,1
7788,Mainline sensor,I-694,WB,45.04858,-93.11231,2
7789,Mainline sensor,I-694,WB,45.04858,-93.11231,3
7790,Mainline sensor,I-694,WB,45.05261,-93.11852,3
7791,Mainline sensor,I-694,WB,45.05576,-93.12868,3
7793,Mainline sensor,I-694,WB,45.05777,-93.13778,4
7817,Mainline sensor,I-694,WB,45.0366,-93.07602,2
7818,Mainline sensor,I-694,WB,45.0366,-93.07602,3
7819,Mainline sensor,I-694,WB,45.0366,-93.07602,4
7820,Mainline sensor,I-694,WB,45.0366,-93.07602,5
7821,Mainline sensor,I-694,WB,45.0366,-93.07602,6
9350,Mainline sensor,I-694,WB,45.06982,-93.28831,1
9351,Mainline sensor,I-694,WB,45.06982,-93.28831,2
9352,Mainline sensor,I-694,WB,45.06982,-93.28831,3
9357,Mainline sensor,I-694,WB,45.06717,-93.24298,1
9358,Mainline sensor,I-694,WB,45.06717,-93.24298,2
9359,Mainline sensor,I-694,WB,45.06717,-93.24298,3
9363,Mainline sensor,I-694,WB,45.06733,-93.18389,1
9364,Mainline sensor,I-694,WB,45.06733,-93.18389,2
9367,Mainline sensor,I-694,WB,45.0693,-93.27838,2
9368,Mainline sensor,I-694,WB,45.0693,-93.27838,3
9369,Mainline sensor,I-694,WB,45.0693,-93.27838,4
9430,Mainline sensor,I-694,WB,45.06634,-93.23747,1
9431,Mainline sensor,I-694,WB,45.06634,-93.23747,2
9432,Mainline sensor,I-694,WB,45.06634,-93.23747,3
21,Mainline sensor,I-94,,44.99296,-93.28463,1
26,Mainline sensor,I-94,,44.99285,-93.28435,1
38,Mainline sensor,I-94,,45.00431,-93.28289,1
43,Mainline sensor,I-94,,45.00429,-93.28268,1
49,Mainline sensor,I-94,,45.00952,-93.28285,1
54,Mainline sensor,I-94,,45.0095,-93.28266,1
59,Mainline sensor,I-94,,45.01841,-93.28306,1
65,Mainline sensor,I-94,,45.01835,-93.28275,1
361,Mainline sensor,I-94,,44.9668,-93.27543,0
365,Mainline sensor,I-94,,44.96615,-93.27861,1
369,Mainline sensor,I-94,,44.96564,-93.28046,1
413,Mainline sensor,I-94,,44.96594,-93.27855,1
481,Mainline sensor,I-94,,45.06443,-93.28572,1
482,Mainline sensor,I-94,,45.06443,-93.28572,2
621,Mainline sensor,I-94,,44.98409,-93.28758,1
626,Mainline sensor,I-94,,44.98856,-93.28821,1
665,Mainline sensor,I-94,,45.06998,-93.3047,1
668,Mainline sensor,I-94,,45.06998,-93.3047,4
685,Mainline sensor,I-94,,45.06915,-93.29331,1
711,Mainline sensor,I-94,,44.9886,-93.28852,1
712,Mainline sensor,I-94,,44.9886,-93.28852,2
713,Mainline sensor,I-94,,44.9886,-93.28852,3
719,Mainline sensor,I-94,,44.98406,-93.28788,1
907,Mainline sensor,I-94,,45.09991,-93.45461,1
929,Mainline sensor,I-94,,45.08942,-93.42909,3
934,Mainline sensor,I-94,,45.08649,-93.4153,1
936,Mainline sensor,I-94,,45.08667,-93.41508,1
986,Mainline sensor,I-94,,45.07425,-93.31939,4
987,Mainline sensor,I-94,,45.07444,-93.31918,1
1308,Mainline sensor,I-94,,45.08917,-93.42906,1
2611,Mainline sensor,I-94,,44.96518,-93.24628,1
2617,Mainline sensor,I-94,,44.96445,-93.22971,1
2643,Mainline sensor,I-94,,44.95162,-93.1236,1
2672,Mainline sensor,I-94,,44.95712,-93.19464,1
2695,Mainline sensor,I-94,,44.96605,-93.26399,1
3130,Mainline sensor,I-94,,44.9654,-93.24617,1
3139,Mainline sensor,I-94,,44.96504,-93.22865,1
3166,Mainline sensor,I-94,,44.95355,-93.18487,1
3207,Mainline sensor,I-94,,44.95283,-93.18185,1
3212,Mainline sensor,I-94,,44.95183,-93.1564,1
5011,Mainline sensor,I-94,,44.95181,-93.05137,1
5012,Mainline sensor,I-94,,44.95181,-93.05137,2
6976,Mainline sensor,I-94,,44.95712,-93.19464,0
6977,Mainline sensor,I-94,,44.95542,-93.19053,0
6978,Mainline sensor,I-94,,44.95355,-93.18487,0
6979,Mainline sensor,I-94,,44.95283,-93.18185,0
6980,Mainline sensor,I-94,,44.95183,-93.16994,0
6981,Mainline sensor,I-94,,44.95156,-93.16256,0
6982,Mainline sensor,I-94,,44.95183,-93.1564,0
6983,Mainline sensor,I-94,,44.95179,-93.14374,0
6984,Mainline sensor,I-94,,44.95158,-93.14367,0
6985,Mainline sensor,I-94,,44.95183,-93.13689,0
6986,Mainline sensor,I-94,,44.95161,-93.13685,0
6987,Mainline sensor,I-94,,44.95187,-93.1267,0
6988,Mainline sensor,I-94,,44.95162,-93.1236,0
7037,Mainline sensor,I-94,,44.95162,-93.15644,0
7233,Mainline sensor,I-94,,45.28932,-93.763,1
7234,Mainline sensor,I-94,,45.28958,-93.76301,1
7241,Mainline sensor,I-94,,44.96605,-93.26425,1
7245,Mainline sensor,I-94,,44.96608,-93.26573,0
7252,Mainline sensor,I-94,,44.96558,-93.24668,1
7260,Mainline sensor,I-94,,44.95674,-93.1936,0
7265,Mainline sensor,I-94,,44.95663,-93.19393,0
7270,Mainline sensor,I-94,,44.9518,-93.16477,0
7274,Mainline sensor,I-94,,44.95158,-93.16478,0
7278,Mainline sensor,I-94,,44.95125,-93.11545,0
7283,Mainline sensor,I-94,,44.95103,-93.11548,1
7321,Mainline sensor,I-94,,45.46451,-94.1307,0
7850,Mainline sensor,I-94,,44.95125,-93.11545,0
8327,Mainline sensor,I-94,,45.19246,-93.54735,1
8332,Mainline sensor,I-94,,45.18456,-93.53789,1
8353,Mainline sensor,I-94,,45.15295,-93.50593,1
8379,Mainline sensor,I-94,,45.12313,-93.48315,1
8383,Mainline sensor,I-94,,45.12256,-93.48251,1
8451,Mainline sensor,I-94,,44.9535,-93.08035,5
8842,Mainline sensor,I-94,,44.9668,-93.21981,1
8847,Mainline sensor,I-94,,44.96704,-93.21995,1
8855,Mainline sensor,I-94,,44.95966,-93.20428,4
9006,Mainline sensor,I-94,,44.94833,-92.9448,0
9011,Mainline sensor,I-94,,44.94865,-92.93159,0
9015,Mainline sensor,I-94,,44.94846,-92.92188,0
9019,Mainline sensor,I-94,,44.94847,-92.91084,0
9050,Mainline sensor,I-94,,44.95995,-92.78037,1
9084,Mainline sensor,I-94,,44.94886,-92.93158,1
9113,Mainline sensor,I-94,,45.232,-93.63889,1
9132,Mainline sensor,I-94,,45.22142,-93.60136,1
T9306,Mainline sensor,I-94,,44.95132,-93.11877,1
T9330,Mainline sensor,I-94,,44.9535,-93.08035,0
T9335,Mainline sensor,I-94,,44.9548,-93.07614,0
T9378,Mainline sensor,I-94,,44.94868,-92.9222,1
T9379,Mainline sensor,I-94,,44.94868,-92.9222,2
T9380,Mainline sensor,I-94,,44.94868,-92.9222,3
T9384,Mainline sensor,I-94,,44.94866,-92.9112,1
T9385,Mainline sensor,I-94,,44.94866,-92.9112,2
T9386,Mainline sensor,I-94,,44.94866,-92.9112,3
9406,Mainline sensor,I-94,,45.2921,-93.77496,0
9407,Mainline sensor,I-94,,45.28932,-93.763,0
9408,Mainline sensor,I-94,,45.28958,-93.76301,0
9409,Mainline sensor,I-94,,45.28347,-93.75079,0
9410,Mainline sensor,I-94,,45.28346,-93.7503,0
9411,Mainline sensor,I-94,,45.2745,-93.7347,0
9412,Mainline sensor,I-94,,45.27373,-93.73215,0
9419,Mainline sensor,I-94,,45.2643,-93.71637,0
9420,Mainline sensor,I-94,,45.26801,-93.72245,0
9421,Mainline sensor,I-94,,45.2571,-93.70301,0
9422,Mainline sensor,I-94,,45.25676,-93.70134,0
9423,Mainline sensor,I-94,,45.24989,-93.68737,0
9424,Mainline sensor,I-94,,45.24937,-93.6851,0
9425,Mainline sensor,I-94,,45.24105,-93.66238,0
9426,Mainline sensor,I-94,,45.23996,-93.65522,0
9427,Mainline sensor,I-94,,45.23831,-93.64931,0
9429,Mainline sensor,I-94,,45.29905,-93.80201,0
22,Mainline sensor,I-94,EB,44.99296,-93.28463,2
23,Mainline sensor,I-94,EB,44.99296,-93.28463,3
24,Mainline sensor,I-94,EB,44.99296,-93.28463,4
25,Mainline sensor,I-94,EB,44.99296,-93.28463,5
39,Mainline sensor,I-94,EB,45.00431,-93.28289,2
40,Mainline sensor,I-94,EB,45.00431,-93.28289,3
41,Mainline sensor,I-94,EB,45.00431,-93.28289,4
42,Mainline sensor,I-94,EB,45.00431,-93.28289,5
50,Mainline sensor,I-94,EB,45.00952,-93.28285,2
51,Mainline sensor,I-94,EB,45.00952,-93.28285,3
52,Mainline sensor,I-94,EB,45.00952,-93.28285,4
53,Mainline sensor,I-94,EB,45.00952,-93.28285,5
60,Mainline sensor,I-94,EB,45.01841,-93.28306,2
61,Mainline sensor,I-94,EB,45.01841,-93.28306,3
62,Mainline sensor,I-94,EB,45.01841,-93.28306,4
63,Mainline sensor,I-94,EB,45.01841,-93.28306,5
82,Mainline sensor,I-94,EB,45.02961,-93.2873,1
83,Mainline sensor,I-94,EB,45.02961,-93.2873,2
84,Mainline sensor,I-94,EB,45.02961,-93.2873,3
85,Mainline sensor,I-94,EB,45.02961,-93.2873,4
86,Mainline sensor,I-94,EB,45.03447,-93.28701,1
87,Mainline sensor,I-94,EB,45.03447,-93.28701,2
